Pattern ID,Pattern,MB Pattern Type,S,R1,a,C2,b,R1,c,C3,d,P,e,E1,C1
91,3,s r1 o r2 c2 (property chain),NCBITaxon_180589,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_17968
92,3,s r1 o r2 c2 (property chain),NCBITaxon_411483,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_17968
93,3,s r1 o r2 c2 (property chain),NCBITaxon_411489,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_30089
94,3,s r1 o r2 c2 (property chain),NCBITaxon_239935,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_30089
95,3,s r1 o r2 c2 (property chain),NCBITaxon_239935,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_17272
96,3,s r1 o r2 c2 (property chain),FAKEURI_0000011,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_15600
97,3,s r1 o r2 c2 (property chain),FAKEURI_0000011,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,FAKEURI_0000204
98,3,s r1 o r2 c2 (property chain),FAKEURI_0000011,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_90
99,3,s r1 o r2 c2 (property chain),FAKEURI_0000012,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,FAKEURI_0000204
100,3,s r1 o r2 c2 (property chain),FAKEURI_0000012,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,FAKEURI_0000205
101,3,s r1 o r2 c2 (property chain),FAKEURI_0000012,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,FAKEURI_0000206
102,3,s r1 o r2 c2 (property chain),NCBITaxon_1578,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_15724
103,3,s r1 o r2 c2 (property chain),NCBITaxon_1678,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_15724
104,3,s r1 o r2 c2 (property chain),NCBITaxon_572511,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_15724
105,3,s r1 o r2 c2 (property chain),NCBITaxon_102106,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_15724
106,3,s r1 o r2 c2 (property chain),FAKEURI_0000013,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_17968
107,3,s r1 o r2 c2 (property chain),FAKEURI_0000014,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_17968
108,3,s r1 o r2 c2 (property chain),NCBITaxon_718252,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_17968
109,3,s r1 o r2 c2 (property chain),FAKEURI_0000013,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_42111
110,3,s r1 o r2 c2 (property chain),FAKEURI_0000014,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_42111
111,3,s r1 o r2 c2 (property chain),NCBITaxon_411483,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_42111
112,3,s r1 o r2 c2 (property chain),NCBITaxon_718252,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_42111
113,3,s r1 o r2 c2 (property chain),NCBITaxon_171552,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_30031
114,3,s r1 o r2 c2 (property chain),NCBITaxon_31977,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_30031
115,3,s r1 o r2 c2 (property chain),NCBITaxon_853,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_43580
116,3,s r1 o r2 c2 (property chain),NCBITaxon_31969,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_43580
117,3,s r1 o r2 c2 (property chain),NCBITaxon_33042,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_43580
118,3,s r1 o r2 c2 (property chain),NCBITaxon_541000,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_43580
